PGM_SYS_ID,ENF_TYPE_DESC,PENALTY_AMOUNT,SETTLEMENT_ENTERED_DATE
NJ0000003402316340,Administrative Order,6000,11/06/2006
NJ0000003402316399,Administrative Order,1000,07/06/2010
NJ0000003402726395,Administrative Order,200,03/14/2005
NJ0000003403940097,Administrative Order,96000,07/13/2000
NJ0000003403940097,Administrative Order,200,06/02/2005
NJ0000003403940097,Administrative Order,6000,09/21/2006
NJ0000003403940097,Administrative Order,1500,01/14/2009
NJ0000003404185005,Administrative Order,1600,06/29/1994
NJ0000003404185006,Administrative Order,3000,09/29/2014
NM0000003504500182,Administrative Order,500,07/07/2011
NM0000003504500184,Administrative Order,314359,06/14/2001
NM0000003577700591,Administrative Order,33385,06/13/2001
NVCCH00032003A0593,Administrative Order,3000,07/28/2004
NJ0000003400700364,Civil Judicial Action,2000,05/07/2012
NJ0000003400701003,Administrative Order,100,12/20/1988
NJ0000003400701003,Administrative Order,37600,02/03/2005
NJ0000003400701003,Civil Judicial Action,28200,10/20/2006
NJ0000003400701003,Administrative Order,2000,09/23/2011
NJ0000003401100019,Administrative Order,500800,06/26/2002
NJ0000003401100025,Administrative Order,18000,11/13/2006
NJ0000003401100037,Administrative Order,1600,06/01/1993
NJ0000003401100058,Administrative Order,1600,05/25/1993
NJ0000003401100058,Administrative Order,800,05/23/2011
NJ0000003401100058,Administrative Order,2100,06/26/2013
NJ0000003401100068,Administrative Order,2000,12/10/1993
NJ0000003401306386,Administrative Order,2000,10/06/2004
NJ0000003401306542,Administrative Order,1200,01/23/2007
NJ0000003401306560,Administrative Order,1000,01/24/2012
NJ0000003401306563,Administrative Order,2400,06/27/2002
NJ0000003401307167,Administrative Order,1400,05/11/2011
NJ0000003401500005,Administrative Order,5000,09/14/1987
NJ0000003401500005,Administrative Order,400,12/01/1988
NJ0000003401500005,Administrative Order,2000,06/07/1989
NJ0000003401500005,Administrative Order,30000,03/06/1991
NJ0000003401500387,Administrative Order,2000,02/06/1986
NJ0000003401500387,Administrative Order,400,02/15/1989
NJ0000003401500387,Administrative Order,3000,02/11/1992
NJ0000003401500387,Administrative Order,2000,12/10/1993
NJ0000003401500387,Administrative Order,16000,05/13/2003
NJ0000003401501003,Civil Judicial Action,154000,10/23/2008
NJ0000003401501003,Administrative Order,10000,10/12/2011
NJ0000003401501004,Administrative Order,4000,01/12/2010
NJ0000003402100021,Administrative Order,1400,07/13/2007
NJ0000003402100099,Administrative Order,400,06/02/1986
NJ0000003402300325,Administrative Order,22000,07/19/1995
NJ0000003402300325,Administrative Order,800,04/02/2002
NJ0000003402300325,Administrative Order,1600,04/28/2004
NJ0000003402318046,Administrative Order,800,10/30/1985
NJ0000003402316528,Administrative Order,600,11/03/2005
NJ0000003402318041,Administrative Order,6000,12/21/2002
NJ0000003402318041,Administrative Order,6000,04/28/2006
NJ0000003402900006,Administrative Order,16000,11/30/2000
NJ0000003402900055,Administrative Order,1500,10/11/2013
NJ0000003402900096,Administrative Order,400,07/02/1986
NJ0000003403300011,Administrative Order,2000,05/04/1990
NJ0000003403300011,Administrative Order,2800,05/04/2004
NJ0000003403300011,Administrative Order,88200,11/03/2006
NJ0000003403300011,Administrative Order,1000,06/10/2010
NJ0000003403940295,Administrative Order,14200,04/16/2003
NJ0000003403940324,Administrative Order,3000,06/02/1995
NJ0000003403940324,Administrative Order,200,06/02/1995
NJ0000003404185137,Administrative Order,100,12/09/2002
NM0000003577700702,Administrative Order,7200,01/15/2013
NJ0000003400545067,Administrative Order,2000,08/14/2013
NJ0000003400545169,Administrative Order,400,03/28/2008
NJ0000003400545228,Administrative Order,21000,06/05/2002
NJ0000003400701047,Administrative Order,2400,11/19/2008
NJ0000003400701054,Administrative Order,2000,02/08/2002
NJ0000003400701062,Administrative Order,600,08/14/2006
NJ0000003400750015,Administrative Order,5000,10/18/2010
NJ0000003400750163,Civil Judicial Action,220000,04/21/2008
NJ0000003401100074,Administrative Order,5000,06/14/2010
NJ0000003401100077,Administrative Order,4425,10/14/1999
NJ0000003401307349,Administrative Order,4000,11/02/1994
NJ0000003401307369,Administrative Order,800,10/09/1992
NJ0000003401307369,Administrative Order,2000,02/16/1994
NJ0000003401307369,Administrative Order,1000,08/31/1994
NJ0000003401500005,Administrative Order,800,12/03/1997
NJ0000003401500005,Administrative Order,7600,07/15/1998
NJ0000003401500005,Administrative Order,10000,09/17/1998
NJ0000003401501013,Administrative Order,2000,10/31/2003
NJ0000003402100105,Administrative Order,3000,11/28/1996
NJ0000003402100105,Administrative Order,12000,08/12/2012
NJ0000003402100125,Administrative Order,1600,11/01/1999
NJ0000003402100125,Administrative Order,400,01/25/2001
NJ0000003402300333,Administrative Order,16400,04/20/2000
NJ0000003402300333,Administrative Order,9600,04/20/2000
NJ0000003402300333,Administrative Order,6800,05/12/2005
NJ0000003402300333,Administrative Order,46700,01/29/2007
NJ0000003402318580,Administrative Order,1200,12/18/2007
NJ0000003402900106,Administrative Order,3000,08/08/1994
NJ0000003403300066,Administrative Order,2400,03/25/1994
NJ0000003403300069,Administrative Order,400,06/24/1999
NJ0000003403300069,Administrative Order,2400,01/31/2002
NJ0000003403940418,Administrative Order,21000,11/06/2002
NJ0000003403940420,Administrative Order,1600,10/26/1994
NJ0000003403940984,Administrative Order,1900,06/18/2007
NJ0000003403941001,Administrative Order,500,04/09/2012
NJ0000003404185441,Civil Judicial Action,175000,04/13/2000
NJ0000003404185442,Administrative Order,2000,12/31/1991
NJ0000003404185442,Administrative Order,10400,01/07/1994
NJ0000003404185442,Administrative Order,11400,08/17/2009
NM0000003502500044,Administrative Order,64512,11/19/2009
NM0000003577700775,Administrative Order,115550,04/03/2002
NM0000003577700798,Administrative Order,124092,06/13/2001
NJ0000003400545237,Administrative Order,2000,10/04/2006
NJ0000003400750163,Administrative Order,2000,02/01/2010
NJ0000003400750635,Administrative Order,23200,05/18/2010
NJ0000003400750861,Administrative Order,3000,07/31/2003
NJ0000003400751593,Administrative Order,35600,03/07/2011
NJ0000003401100077,Administrative Order,300,07/08/2010
NJ0000003401100078,Administrative Order,2000,02/27/2001
NJ0000003401100084,Administrative Order,2000,11/16/1994
NJ0000003401307524,Administrative Order,400,05/19/2006
NJ0000003401307551,Administrative Order,3000,08/28/1995
NJ0000003401307551,Administrative Order,800,06/25/1998
NJ0000003401307551,Administrative Order,800,10/15/2007
NJ0000003401500005,Administrative Order,20400,10/09/1998
NJ0000003401500005,Administrative Order,3600,05/10/1999
NJ0000003401500005,Administrative Order,36000,09/21/2000
NJ0000003401500005,Administrative Order,200,09/22/2000
NJ0000003401500005,Administrative Order,65200,01/11/2001
NJ0000003401500005,Administrative Order,28400,01/03/2002
NJ0000003401555304,Administrative Order,3000,01/10/2003
NJ0000003401555412,Administrative Order,8250,04/30/2013
NJ0000003401556002,Civil Judicial Action,2000,07/03/2008
NJ0000003402100125,Administrative Order,296000,03/18/2004
NJ0000003402100130,Administrative Order,4000,01/04/2000
NJ0000003402100131,Administrative Order,10000,06/08/2001
NJ0000003402100131,Administrative Order,1200,09/14/2007
NJ0000003402300333,Administrative Order,6000,10/27/2006
NJ0000003402300333,Administrative Order,1200,05/14/2009
NJ0000003402300333,Administrative Order,21500,07/24/2009
NJ0000003402300340,Administrative Order,10000,07/26/1996
NJ0000003402300340,Administrative Order,10000,07/26/1996
NJ0000003402500004,Administrative Order,3200,09/22/1999
NJ0000003402500004,Administrative Order,41900,06/13/2000
NJ0000003402500004,Administrative Order,14000,01/18/2001
NJ0000003402500004,Administrative Order,167400,12/10/2002
NJ0000003402500004,Administrative Order,7000,04/04/2002
NJ0000003402500004,Administrative Order,21200,12/28/2004
NJ0000003402500004,Administrative Order,4800,10/25/2005
NJ0000003402978162,Administrative Order,400,10/10/2001
NJ0000003402978335,Administrative Order,6000,03/27/1997
NJ0000003403300069,Administrative Order,8000,11/24/2004
NJ0000003403300070,Administrative Order,2000,10/30/2012
NJ0000003403941702,Administrative Order,10000,11/02/2000
NJ0000003403941708,Administrative Order,2400,07/29/1994
NJ0000003404185452,Administrative Order,2400,09/19/1996
NJ0000003404185452,Administrative Order,15800,06/05/2008
NM0000003504500349,Administrative Order,1900,10/26/2000
NM0000003504500349,Administrative Order,500,07/07/2011
NM0000003504500357,Administrative Order,1900,10/26/2000
NM0000003504500357,Administrative Order,500,07/07/2011
NM0000003504500382,Administrative Order,31415,11/20/2001
NM0000003577700917,Administrative Order,29008,03/14/2003
NJ0000003400545317,Administrative Order,5800,10/25/2006
NJ0000003400545317,Administrative Order,14700,10/25/2010
NJ0000003400545317,Administrative Order,1500,04/30/2012
NJ0000003400545321,Administrative Order,4000,04/17/2007
NJ0000003400751831,Administrative Order,1700,10/27/2004
NJ0000003400751831,Administrative Order,2200,11/02/2006
NJ0000003400751896,Administrative Order,700,10/19/2006
NJ0000003400900001,Administrative Order,4000,01/31/1989
NJ0000003401307617,Administrative Order,1600,09/27/2000
NJ0000003401307617,Administrative Order,1600,01/24/2001
NJ0000003401307617,Administrative Order,20000,06/30/2008
NJ0000003401500005,Administrative Order,600,01/27/2003
NJ0000003401500005,Administrative Order,16600,01/15/2004
NJ0000003401500005,Administrative Order,10000,07/22/2004
NJ0000003401500005,Administrative Order,10000,11/01/2004
NJ0000003401556153,Administrative Order,3600,04/04/2013
NJ0000003401700054,Administrative Order,800,12/14/1990
NJ0000003401700136,Administrative Order,3200,07/27/1992
NJ0000003402160069,Administrative Order,7000,12/31/1996
NJ0000003402160069,Administrative Order,7000,12/31/1996
NJ0000003402160069,Administrative Order,2800,08/29/1997
NJ0000003402160172,Administrative Order,2500,06/03/2004
NJ0000003402300347,Administrative Order,68000,11/26/1996
NJ0000003402300347,Administrative Order,1000,12/17/2001
NJ0000003402300347,Administrative Order,4400,05/08/2006
NJ0000003402300349,Administrative Order,400,09/14/1995
NJ0000003402300349,Administrative Order,3000,02/28/2005
NJ0000003402500004,Administrative Order,1800,01/29/2007
NJ0000003402978335,Administrative Order,400,03/18/1999
NJ0000003402978349,Administrative Order,4000,02/02/2001
NJ0000003402978439,Administrative Order,4000,11/03/2004
NJ0000003402978801,Administrative Order,50,08/17/2011
NJ0000003403300071,Administrative Order,600,02/29/2008
NJ0000003403300076,Administrative Order,33000,05/20/2010
NJ0000003403300076,Civil Judicial Action,5250,06/19/2014
NJ0000003403941708,Administrative Order,2000,12/27/2006
NJ0000003403941708,Administrative Order,4125,04/07/2010
NJ0000003403941712,Administrative Order,1600,04/26/1994
NJ0000003403941712,Administrative Order,1600,08/03/1994
NJ0000003403941712,Administrative Order,400,09/12/1995
NJ0000003403941712,Administrative Order,57000,05/20/1997
NJ0000003404185455,Administrative Order,400,02/29/2000
NJ0000003404185455,Administrative Order,4000,12/22/2006
NJ0000003404185455,Administrative Order,1000,01/21/2009
NM0000003502500072,Administrative Order,16800,02/04/2010
NM0000003502500095,Administrative Order,20000,05/30/2001
NM0000003502500102,Administrative Order,8000,11/04/2003
NM0000003502500113,Administrative Order,34003,11/05/2014
NM0000003502500136,Administrative Order,12600,10/08/2002
NM0000003504500395,Administrative Order,500,07/07/2011
NM0000003504500396,Administrative Order,500,07/07/2011
NM0000003504500902,Administrative Order,15000,02/15/2007
NM0000003504500902,Administrative Order,31250,05/13/2011
NM0000003504500906,Administrative Order,500,07/07/2011
NM0000003504500914,Administrative Order,1000,10/04/2011
NJ0000003400545325,Administrative Order,2000,01/22/2010
NJ0000003400545481,Administrative Order,400,04/17/1998
NJ0000003400545490,Administrative Order,2000,11/07/2003
NJ0000003401100280,Administrative Order,4000,05/02/2003
NJ0000003401100280,Administrative Order,400,01/22/2004
NJ0000003401100288,Administrative Order,5000,05/11/2004
NJ0000003401307674,Administrative Order,16200,05/02/2003
NJ0000003401307726,Administrative Order,3200,12/23/1992
NJ0000003401500005,Administrative Order,200,05/22/2006
NJ0000003401500005,Administrative Order,20000,08/16/2006
NJ0000003401500005,Administrative Order,40800,09/22/2006
NJ0000003401500005,Administrative Order,2000,05/05/2009
NJ0000003401700402,Administrative Order,800,05/13/1991
NJ0000003402160201,Administrative Order,4000,10/01/2001
NJ0000003402300354,Administrative Order,20000,08/31/2000
NJ0000003402500111,Administrative Order,84000,07/19/2001
NJ0000003402500111,Administrative Order,1500,01/29/2008
NJ0000003403100250,Administrative Order,5000,07/31/1991
NJ0000003403130005,Administrative Order,200,01/08/1991
NJ0000003403130033,Administrative Order,4000,08/15/2000
NJ0000003403130048,Administrative Order,45800,12/08/1987
NJ0000003403300125,Administrative Order,6000,11/22/2012
NJ0000003403365530,Administrative Order,3000,05/22/2006
NJ0000003403365540,Administrative Order,350,08/21/2013
NJ0000003403500001,Administrative Order,3000,01/17/1991
NJ0000003403941712,Administrative Order,20000,09/04/1997
NJ0000003403941712,Administrative Order,2000,12/03/1997
NJ0000003403941712,Administrative Order,21500,04/09/2004
NJ0000003403941712,Administrative Order,16000,06/24/2009
NJ0000003404185455,Administrative Order,600,01/14/2011
NM0000003502500141,Administrative Order,7200,03/03/2011
NM0000003502500143,Administrative Order,5400,01/21/2011
NM0000003502500144,Administrative Order,7200,03/05/2009
NM0000003502500213,Administrative Order,16964,03/07/2002
NM0000003504504168,Administrative Order,2000,08/05/2010
NM0000003504700003,Administrative Order,5750,12/22/2008
NM0000003504700003,Administrative Order,5750,11/30/2011
NM0000003577708053,Administrative Order,3000,12/14/2010
NM0000003577708056,Administrative Order,331,04/21/2009
NM0000003577708059,Administrative Order,328,04/21/2009
NJ0000003400545855,Administrative Order,6000,03/10/2005
NJ0000003400546146,Administrative Order,9600,05/11/2006
NJ0000003400546146,Administrative Order,400,03/14/2007
NJ0000003400900001,Administrative Order,10000,01/11/2001
NJ0000003400900001,Administrative Order,2000,04/05/2001
NJ0000003401100292,Administrative Order,6000,08/09/2005
NJ0000003401100297,Administrative Order,4000,09/21/1993
NJ0000003401307733,Administrative Order,24000,08/21/1991
NJ0000003401307733,Administrative Order,200,03/31/2010
NJ0000003401500016,Administrative Order,42400,05/03/2007
NJ0000003401500016,Administrative Order,1000,03/28/2008
NJ0000003401500019,Administrative Order,3000,05/11/1993
NJ0000003401500019,Administrative Order,2000,07/30/2002
NJ0000003401500019,Administrative Order,6000,04/08/2004
NJ0000003401500025,Administrative Order,200,06/22/1988
NJ0000003401500025,Administrative Order,2000,09/18/1989
NJ0000003401700467,Administrative Order,2000,06/14/1991
NJ0000003401700524,Administrative Order,800,08/26/1993
NJ0000003401700524,Administrative Order,1600,08/29/1994
NJ0000003402300354,Administrative Order,9000,02/09/2005
NJ0000003402300354,Administrative Order,4600,02/24/2005
NJ0000003402300354,Administrative Order,20000,03/03/2005
NJ0000003402300354,Administrative Order,4000,05/14/2007
NJ0000003402300354,Administrative Order,1500,12/29/2012
NJ0000003402500141,Administrative Order,400,11/17/1986
NJ0000003402500141,Administrative Order,17100,12/21/2009
NJ0000003402500146,Administrative Order,6000,08/26/1986
NJ0000003402500146,Administrative Order,2400,08/25/1993
NJ0000003402500146,Administrative Order,7000,06/17/1994
NJ0000003403130048,Administrative Order,10000,02/07/1989
NJ0000003403130100,Administrative Order,1000,09/13/2006
NJ0000003403130100,Administrative Order,13000,12/03/2012
NJ0000003403130167,Administrative Order,2000,09/25/2006
NJ0000003403500112,Administrative Order,2000,08/12/1998
NJ0000003403941722,Administrative Order,4000,03/26/2009
NJ0000003403941735,Administrative Order,78000,06/03/1998
NM0000003500102191,Administrative Order,7000,10/17/2012
NM0000003500500071,Administrative Order,2728,02/16/2012
NM0000003502500341,Administrative Order,21120,11/03/2010
NMCOA0003500100005,Administrative Order,15000,03/14/2007
NMCOA0003500100029,Administrative Order,10000,02/23/2009
NJ0000003400700007,Administrative Order,200,02/15/1989
NJ0000003400700044,Administrative Order,10000,11/02/1990
NJ0000003400700044,Administrative Order,800,11/02/1990
NJ0000003400700068,Administrative Order,1000,12/08/2011
NJ0000003400900001,Administrative Order,800,06/21/2007
NJ0000003400900001,Administrative Order,10000,09/13/2007
NJ0000003401100297,Administrative Order,1000,04/21/2004
NJ0000003401100304,Administrative Order,7700,11/12/2004
NJ0000003401100305,Administrative Order,4000,05/03/2001
NJ0000003401307736,Administrative Order,1000,05/06/1999
NJ0000003401307736,Administrative Order,15000,10/04/1999
NJ0000003401500025,Administrative Order,8000,10/25/1995
NJ0000003401500033,Administrative Order,800,02/07/1994
NJ0000003401500033,Administrative Order,235500,08/09/2002
NJ0000003401500033,Administrative Order,1600,07/08/2003
NJ0000003401500033,Administrative Order,4100,02/09/2004
NJ0000003401710070,Administrative Order,200,05/27/2011
NJ0000003402160533,Administrative Order,3000,10/31/1997
NJ0000003402160533,Administrative Order,8000,10/18/2007
NJ0000003402160579,Administrative Order,9000,07/01/1999
NJ0000003402161071,Administrative Order,9600,07/08/2010
NJ0000003402161201,Administrative Order,600,06/07/2013
NJ0000003402300025,Administrative Order,8000,02/09/1999
NJ0000003402300355,Administrative Order,6100,05/26/2011
NJ0000003402300367,Administrative Order,9200,05/06/2008
NJ0000003402500146,Administrative Order,2000,10/26/1995
NJ0000003402500147,Administrative Order,2000,05/10/1993
NJ0000003403130240,Administrative Order,10000,06/28/2000
NJ0000003403130332,Administrative Order,36000,06/15/2000
NJ0000003403130338,Administrative Order,400,06/23/2014
NJ0000003403130372,Administrative Order,13500,09/02/2005
NJ0000003403130422,Administrative Order,5200,02/04/2000
NJ0000003403130422,Administrative Order,700,03/22/2007
NJ0000003403535014,Administrative Order,3000,02/24/2014
NJ0000003403535091,Administrative Order,600,01/27/1999
NJ0000003403941766,Administrative Order,800,02/05/2007
NJ0000003403941767,Administrative Order,100000,11/26/1986
NJ0000003403941767,Administrative Order,400,04/28/1995
NJ0000003403941767,Administrative Order,6000,12/12/1997
NJ0000003403941767,Administrative Order,12000,04/15/1999
NJ0000003403941767,Administrative Order,3000,03/15/2007
NM0000003503100002,Administrative Order,24336,01/29/2004
NM0000003503100008,Administrative Order,70000,10/29/2010
NM0000003503100008,Administrative Order,103200,03/06/2014
NM0000003503100029,Administrative Order,396000,06/14/2001
NM0000003505500002,Administrative Order,80000,07/09/2007
NMCOA0003500100041,Administrative Order,750,07/21/1999
NMCOA0003500100041,Administrative Order,9900,06/17/2005
NMCOA0003500100052,Administrative Order,300,06/29/1999
NMCOA0003500100052,Administrative Order,800,11/23/2004
NMCOA0003500100056,Administrative Order,7500,09/06/2006
NJ0000003400700095,Administrative Order,200,09/29/2007
NJ0000003400700095,Administrative Order,400,12/19/2007
NJ0000003400700115,Administrative Order,8000,08/14/1992
NJ0000003400700115,Administrative Order,16000,02/02/1994
NJ0000003400700115,Administrative Order,1600,02/03/1994
NJ0000003400700115,Administrative Order,4000,07/20/1994
NJ0000003400900001,Administrative Order,5100,09/10/2009
NJ0000003400900001,Administrative Order,1700,06/14/2010
NJ0000003400900001,Administrative Order,2100,01/25/2011
NJ0000003400900001,Administrative Order,3750,12/28/2011
NJ0000003401175024,Administrative Order,106500,01/31/2001
NJ0000003401175024,Civil Judicial Action,2000,11/05/2003
NJ0000003401175219,Administrative Order,300,05/29/2008
NJ0000003401307736,Administrative Order,20000,03/11/2002
NJ0000003401307736,Administrative Order,15000,04/11/2002
NJ0000003401307736,Administrative Order,24600,07/22/2011
NJ0000003401500059,Administrative Order,8000,03/18/2003
NJ0000003401500059,Administrative Order,7200,03/31/2004
NJ0000003401500059,Administrative Order,3200,09/08/2005
NJ0000003401500059,Administrative Order,800,06/06/2006
NJ0000003401500059,Administrative Order,21600,08/24/2006
NJ0000003401500059,Administrative Order,6000,12/28/2006
NJ0000003401500059,Administrative Order,4640,02/04/2013
NJ0000003401710572,Administrative Order,600,05/12/1998
NJ0000003401710572,Administrative Order,12000,10/05/1998
NJ0000003402300029,Administrative Order,2200,07/17/1998
NJ0000003402300029,Administrative Order,8000,07/05/2001
NJ0000003402300029,Administrative Order,3000,01/03/2007
NJ0000003402300029,Administrative Order,600,08/13/2008
NJ0000003402300368,Administrative Order,3000,10/31/1997
NJ0000003402300368,Administrative Order,3000,05/12/2006
NJ0000003402520171,Administrative Order,14000,10/04/2001
NJ0000003402520175,Administrative Order,5300,01/06/2009
NJ0000003402520499,Administrative Order,12200,10/31/2002
NJ0000003402520597,Administrative Order,200,12/18/2006
NJ0000003403130466,Administrative Order,4800,03/10/2010
NJ0000003403130509,Administrative Order,5000,03/24/1997
NJ0000003403130545,Administrative Order,2000,10/03/2001
NJ0000003403535121,Administrative Order,2000,12/20/1995
NJ0000003403535231,Administrative Order,3000,03/30/2004
NJ0000003403535324,Administrative Order,6900,09/12/2001
NJ0000003403535327,Administrative Order,5400,07/25/2000
NJ0000003403941767,Administrative Order,24000,04/20/2010
NJ0000003403941795,Administrative Order,800,06/20/2003
NJ0000003403941798,Administrative Order,800,08/14/2006
NM0000003501300025,Administrative Order,19610,01/27/2003
NM0000003505700008,Administrative Order,25200,09/11/2007
NM0000003577700002,Administrative Order,16200,06/13/2001
NM0000003577700003,Administrative Order,33225,06/13/2001
NMCOA0003500100100,Administrative Order,3500,01/05/2005
NMCOA0003500100113,Administrative Order,29000,05/06/2009
NJ0000003400700135,Administrative Order,200,12/04/1992
NJ0000003400700135,Administrative Order,6000,07/14/1993
NJ0000003400700144,Administrative Order,2400,04/05/2006
NJ0000003400900023,Administrative Order,17700,01/14/2009
NJ0000003400900041,Administrative Order,6000,10/15/1999
NJ0000003401175411,Administrative Order,2060,01/09/2009
NJ0000003401175539,Administrative Order,9000,03/19/2007
NJ0000003401308242,Administrative Order,10000,09/29/2009
NJ0000003401308729,Administrative Order,8000,10/27/1999
NJ0000003401500001,Administrative Order,5000,03/17/1987
NJ0000003401500063,Administrative Order,8000,08/01/2006
NJ0000003401500074,Administrative Order,800,07/18/1990
NJ0000003401500103,Administrative Order,6000,03/26/1992
NJ0000003401712066,Administrative Order,600,02/16/2007
NJ0000003402300030,Administrative Order,400,08/08/1985
NJ0000003402300376,Administrative Order,3000,03/29/2005
NJ0000003402300378,Administrative Order,200,01/23/1997
NJ0000003402300378,Administrative Order,11500,01/06/2005
NJ0000003402521233,Administrative Order,76000,04/05/2001
NJ0000003402521233,Administrative Order,12000,09/29/2006
NJ0000003402521233,Administrative Order,200,12/09/2013
NJ0000003402700008,Administrative Order,1000,01/05/1990
NJ0000003402700015,Administrative Order,400,04/05/1991
NJ0000003403131061,Administrative Order,2000,03/10/1997
NJ0000003403131102,Administrative Order,250,07/09/2014
NJ0000003403131145,Administrative Order,16100,01/08/1999
NJ0000003403131145,Administrative Order,42000,10/18/2001
NJ0000003403535328,Administrative Order,24000,08/15/1990
NJ0000003403535482,Administrative Order,100,06/11/2008
NJ0000003403941805,Administrative Order,639000,08/13/1990
NM0000003501300048,Administrative Order,14400,01/20/2011
NM0000003503900018,Administrative Order,9000,12/29/2000
NMCOA0003500100131,Administrative Order,15000,02/17/1995
NMCOA0003500100233,Administrative Order,17900,04/03/2009
NMCOA0003500100329,Administrative Order,18000,05/23/2008
NJ0000003400900041,Administrative Order,3500,07/10/2010
NJ0000003400900041,Administrative Order,3100,03/10/2011
NJ0000003400900066,Administrative Order,500,03/15/2005
NJ0000003400900067,Administrative Order,200,11/19/2004
NJ0000003400900067,Administrative Order,1150,11/28/2007
NJ0000003401175559,Administrative Order,8400,06/30/2009
NJ0000003401300185,Administrative Order,200,06/02/1986
NJ0000003401500001,Administrative Order,1600,09/30/1991
NJ0000003401500001,Administrative Order,1000,02/14/2008
NJ0000003401500002,Administrative Order,800,05/02/1986
NJ0000003401500002,Administrative Order,7500,05/02/1986
NJ0000003401500002,Administrative Order,4000,06/10/1986
NJ0000003401500002,Administrative Order,3200,02/22/1988
NJ0000003401500103,Administrative Order,18200,04/23/2008
NJ0000003401712174,Administrative Order,800,01/10/1995
NJ0000003401712174,Administrative Order,2200,02/21/2007
NJ0000003401712194,Administrative Order,3000,11/20/2002
NJ0000003402300038,Administrative Order,3000,05/19/1995
NJ0000003402300038,Administrative Order,16800,01/07/1997
NJ0000003402300038,Administrative Order,9000,03/25/1997
NJ0000003402300038,Administrative Order,8400,01/28/1999
NJ0000003402300038,Administrative Order,2200,03/21/2005
NJ0000003402300038,Administrative Order,1900,10/14/2011
NJ0000003402300390,Administrative Order,1000,10/16/1985
NJ0000003402300390,Administrative Order,800,10/18/1999
NJ0000003402300390,Administrative Order,2250,03/22/2011
NJ0000003402300392,Administrative Order,24000,10/12/2005
NJ0000003402700076,Administrative Order,200,10/16/1991
NJ0000003402700084,Administrative Order,600,01/10/1991
NJ0000003402725000,Administrative Order,3000,06/02/2006
NJ0000003402725006,Administrative Order,500,11/01/1993
NJ0000003402725009,Administrative Order,4000,12/26/2000
NJ0000003402725019,Administrative Order,2000,05/07/2001
NJ0000003402725019,Administrative Order,1000,03/22/2007
NJ0000003403131439,Administrative Order,5000,07/30/1987
NJ0000003403131564,Administrative Order,2000,06/24/1992
NJ0000003403131593,Administrative Order,3000,09/12/2006
NJ0000003403131669,Administrative Order,200,10/05/1998
NJ0000003403131669,Administrative Order,3200,02/02/2001
NJ0000003403535857,Administrative Order,11000,04/04/2007
NJ0000003403535857,Administrative Order,1000,08/08/2014
NJ0000003403535875,Administrative Order,400,03/20/2009
NJ0000003403535878,Administrative Order,2000,06/16/2004
NM0000003501500007,Administrative Order,41856,01/03/2012
NM0000003503900036,Administrative Order,79874,06/03/2015
NM0000003503900042,Administrative Order,114000,06/24/2004
NM0000003503900043,Administrative Order,267737,08/05/2004
NM0000003503900045,Administrative Order,9600,02/13/2012
NM0000003577700040,Administrative Order,20700,01/18/2001
NMCOA0003500100609,Administrative Order,103660,07/31/2003
NMCOA0003500100693,Administrative Order,6000,03/10/2006
NMCOA0003500100726,Administrative Order,23000,05/13/2008
NMCOA0003500100820,Administrative Order,950,05/15/2007
NJ0000003400700306,Administrative Order,366000,07/13/2001
NJ0000003400700306,Administrative Order,32800,05/07/2003
NJ0000003400700326,Administrative Order,3000,07/14/1993
NJ0000003401100001,Administrative Order,3200,03/11/1986
NJ0000003401100001,Administrative Order,28000,07/17/1991
NJ0000003401100001,Administrative Order,20000,10/23/1991
NJ0000003401100001,Administrative Order,4000,02/06/1997
NJ0000003401100001,Administrative Order,2000,03/31/1997
NJ0000003401300275,Administrative Order,30000,09/21/1990
NJ0000003401300275,Administrative Order,450000,10/26/1990
NJ0000003401500103,Administrative Order,2250,07/03/2012
NJ0000003401500103,Administrative Order,2000,03/31/2014
NJ0000003401500104,Administrative Order,9200,09/12/2003
NJ0000003401500108,Administrative Order,1500,07/10/2012
NJ0000003401712194,Administrative Order,1500,03/10/2009
NJ0000003401712194,Administrative Order,1500,06/12/2009
NJ0000003401712194,Administrative Order,15000,08/28/2012
NJ0000003401712197,Administrative Order,400,05/24/1991
NJ0000003401712197,Administrative Order,93200,06/20/2013
NJ0000003401712202,Administrative Order,6200,04/11/2011
NJ0000003401712205,Administrative Order,1500,02/08/2011
NJ0000003402300045,Administrative Order,7600,07/02/2001
NJ0000003402300049,Administrative Order,800,06/19/1985
NJ0000003402300049,Administrative Order,2000,03/14/1986
NJ0000003402300406,Administrative Order,4000,06/23/2003
NJ0000003402300406,Administrative Order,200,03/07/2014
NJ0000003402311111,Administrative Order,3000,07/15/1994
NJ0000003402725092,Administrative Order,2600,12/30/2002
NJ0000003402725156,Administrative Order,400,05/22/2002
NJ0000003403131670,Administrative Order,8000,01/19/2000
NJ0000003403131787,Administrative Order,2100,10/23/2003
NJ0000003403131827,Administrative Order,5600,08/15/2011
NJ0000003403131899,Administrative Order,800,04/27/2004
NJ0000003403535882,Administrative Order,10750,07/22/2013
NJ0000003403535886,Administrative Order,800,07/16/1993
NJ0000003403941805,Administrative Order,10000,06/16/2009
NM0000003503900087,Administrative Order,8232,11/06/2003
NM0000003577700074,Administrative Order,16790,09/14/1994
