PGM_SYS_ID,PROGRAM_CODE,PROGRAM_DESC,prg_status,AIR_OPERATING_STATUS_DESC,BEGIN_DATE,prg_updated,fac_class,fac_status,STATE,FACILITY_NAME,SIC_CODES,NAICS_CODES,updated,update_year,naics_first
OK0000004001700818,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/21/2020,05/04/2020,SMI,OPR,OK,FW MIDCON I LLC / WM WALLACE 1406 5H 6H 7H 18X,1311,211120,2020-05-04,2020,211
OK0000004001700817,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/29/2020,05/04/2020,SMI,OPR,OK,FW MIDCON I LLC / SLASH C 1406 6H 7H 8H 17X,1311,211120,2020-05-04,2020,211
OK0000004007300951,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/10/2020,06/22/2020,SMI,OPR,OK,FW MIDCON I LLC / CHANNEL 1709 2H 3H 4H 30X,1311,211120,2020-06-22,2020,211
OK0000004007300964,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/27/2020,09/01/2020,MIN,OPR,OK,FW MIDCON I LLC / KENNETH FED 1608 3H 30X KENNETH FIU 16,1311,211120,2020-09-01,2020,211
AL0000000100700017,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,11/28/2022,01/25/2023,SMI,OPR,AL,MERCEDES BENZ US INTERNATIONAL INC MBUSI,3711,336111,2023-01-25,2023,336
OK0000004001700832,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/21/2020,05/04/2020,SMI,OPR,OK,FW MIDCON I LLC / SLASH C 1406 2H 3H 4H 17X,1311,211120,2020-05-04,2020,211
PA000549642,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,01/05/2026,02/17/2026,MIN,OPR,PA,AQUA PA/CRUM CREEK WATER TRMT PLT,4941,221310,2026-02-17,2026,221
GA0000001305900108,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/27/2021,10/01/2021,MIN,OPR,GA,"RWDC INDUSTRIES, LLC",2821,325211,2021-10-01,2021,325
OK0000004001700840,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/19/2023,07/19/2023,MIN,OPR,OK,FW MIDCON I LLC / CALVIN S 1307 1 16MH 2 16MH,1311,211120,2023-07-19,2023,211
OK0000004006300240,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/22/2024,05/31/2024,MIN,OPR,OK,MUSTANG FUEL CORP / ANDERSON EAST PAD,1311,211130,2024-05-31,2024,211
OK0000004001700845,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/12/2024,06/18/2024,MIN,OPR,OK,CAMINO NATURAL RESOURCES LLC / MOUNT SCOTT 1207 4 9 1WXH COWABUNGA 12,1311,211120,2024-06-18,2024,211
OK0000004005100806,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/09/2024,12/18/2024,MIN,OPR,OK,CONTINENTAL RESOURCES / RK MORRIS 2 29 20 17XHW EARLY 4 29 32X,1311,211120,2024-12-18,2024,211
OK0000004004900265,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/29/2023,07/05/2023,MIN,OPR,OK,FW MIDCON I LLC / CAMPBELL 0304 1 6H COLLINS 0404 1 31 3,1311,211120,2023-07-05,2023,211
OK0000004001700853,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/14/2024,08/14/2024,MIN,OPR,OK,VALIDUS ENERGY II MIDCON LLC / NORTHERN DANCER PAD,1311,211120,2024-08-14,2024,211
OK0000004001700857,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/20/2024,08/22/2024,MIN,OPR,OK,VALIDUS ENERGY II MIDCON LLC / UNBRIDLED 5 8 10 7 PAD,1311,211120,2024-08-22,2024,211
OK0000004009500137,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/11/2024,12/18/2024,MIN,OPR,OK,XTO ENERGY INC / BELL 1 2 3 33H 34X35 PRODUCTION SITE,1311,211120,2024-12-18,2024,211
OK0000004001700864,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/30/2022,09/13/2022,MIN,OPR,OK,DIVERSIFIED PRODUCTION LLC / FUJI 1206 3UMH 19 4SMH 19,1311,211120,2022-09-13,2022,211
OK0000004009500138,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/11/2024,12/18/2024,MIN,OPR,OK,XTO ENERGY INC / KELLY 1 2 3 28H21X PRODUCTION SITE,1311,211120 211130,2024-12-18,2024,211
OK0000004001900333,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/05/2024,12/18/2024,MIN,OPR,OK,XTO ENERGY INC / LAWSON 4 5 6 13H14X PRODUCTION SITE,1311,211120 211130,2024-12-18,2024,211
OK0000004001700882,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/02/2021,06/08/2021,SMI,OPR,OK,VALIDUS ENERGY II MIDCON LLC / WRIGHT 10 8 25 PAD,1311,211120,2021-06-08,2021,211
OK0000004007301000,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,01/02/2025,01/03/2025,MIN,OPR,OK,FW MIDCON I LLC / GRUNTMEIR 1708 2H 3H 7XX,1311,211120,2025-01-03,2025,211
OK0000004005100869,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,01/26/2023,02/01/2023,MIN,OPR,OK,VALIDUS ENERGY II MIDCON LLC / ORANGE SHERBET CENTRAL TANK BATTERY,1311,211120,2023-02-01,2023,211
OK0000004001700897,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,02/24/2023,03/06/2023,MIN,OPR,OK,BCE MACH LLC / BIMBAT 21 16 12N 6W 1 2MHX  ROSEANNADA,1311,211120,2023-03-06,2023,211
OK0000004001700899,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/13/2024,08/14/2024,MIN,OPR,OK,VALIDUS ENERGY II MIDCON LLC / LOVES 21 16 PAD,1311,211120,2024-08-14,2024,211
OK0000004004300449,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/02/2025,04/08/2025,MIN,OPR,OK,CITIZEN ENERGY VENTURES / BMB 1 32H29X20 BROWNIE 1 32H28X21 PROD,1311,211120,2025-04-08,2025,211
AR0000000577701623,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/08/2022,06/08/2022,SMI,OPR,AR,MARION COUNTY QUARRY,NA,212319,2022-06-08,2022,212
CO0000000812309E25,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,11/18/2022,11/18/2022,MIN,OPR,CO,AGGIE-COLT AA17 ECONODE T6N-R63W-S17,1311,211130,2022-11-18,2022,211
OK0000004001700919,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/14/2024,08/22/2024,MIN,OPR,OK,VALIDUS ENERGY II MIDCON LLC / ROYSTER 21 16 PAD,1311,211120,2024-08-22,2024,211
PA000839645,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,NATL FUEL GAS SUPPLY CORP/MARVINDALE COMP STA,4922,486210,2026-02-17,2026,486
OK0000004005100924,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,02/23/2024,03/01/2024,MIN,OPR,OK,CONTINENTAL RESOURCES / MCBRYDE FIU 4 23 26XHW MCBRYDE FIU 5 2,1311,211120,2024-03-01,2024,211
NC0000003704101277,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/06/2022,05/06/2022,SMI,OPR,NC,"BOGGS MATERIALS, INC. - HIGH POINT PLANT",2951,324121,2022-05-06,2022,324
